procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 232100   2076 160852    0    0  2281   101  440 2345  5 11 84  0  0
 0  0      0 232100   2076 160844    0    0     0     0   43   67  0  0 100  0  0
 0  0      0 232100   2076 160844    0    0     0     0   36   65  0  0 100  0  0
 0  0      0 232100   2076 160844    0    0     0     0   57   85  0  0 100  0  0
 0  0      0 232100   2076 160844    0    0     0     0   60   93  0  0 100  0  0
 0  0      0 232100   2076 160844    0    0     0     0   37   67  0  0 100  0  0
 1  0      0 217448   2076 171844    0    0  2004     0 2214 2876 29 41 30  0  0
 2  0      0 202320   2076 175392    0    0  8196     0 4125 5985 18 68 14  0  0
 1  0      0 185560   2076 180996    0    0  6980     0 3372 4489 17 66 17  0  0
 2  0      0 170256   2076 185920    0    0  6900  2592 2957 3868 15 70 15  0  0
 0  0      0 153276   2076 191380    0    0  7972     0 2985 4191 13 62 26  0  0
 0  0      0 153276   2076 191388    0    0     0     0   53   88  0  0 100  0  0
 0  0      0 153276   2076 191388    0    0     0     0   49   76  0  0 100  0  0
 0  0      0 153276   2076 191388    0    0     0     0   47   78  0  0 100  0  0
 1  0      0 153276   2076 191388    0    0     0     0   76  121  0  1 99  0  0
 0  0      0 153276   2076 191388    0    0     0     0   76  115  0  0 100  0  0
 2  0      0 152332   2076 191836    0    0     0     0  210  166  4  6 90  0  0
 0  0      0 153144   2076 191412    0    0     0     0  726  638 21 17 62  0  0
 0  0      0 160844   2076 191396    0    0     0 23996  686 1042  0  5 74 21  0
 0  0      0 160876   2076 191396    0    0     0     0   62   96  0  0 100  0  0
 0  0      0 160876   2076 191396    0    0     0     0   46   63  0  0 100  0  0
 0  0      0 160876   2076 191396    0    0     0     0   48   78  0  0 100  0  0
 0  0      0 160876   2076 191396    0    0     0     0   65   98  0  0 100  0  0
 0  0      0 160876   2076 191396    0    0     0     0   44   73  0  0 100  0  0
 0  0      0 160876   2076 191396    0    0     0     0  116  209  0  1 99  0  0
 0  0      0 160872   2076 191396    0    0     0     0   42   71  0  0 100  0  0
 0  0      0 160872   2076 191396    0    0     0     0   47   75  0  0 100  0  0
 0  0      0 160872   2076 191396    0    0     0    16   42   75  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 160872   2076 191396    0    0     0     0   39   70  0  0 100  0  0
 0  0      0 160872   2076 191396    0    0     0     0   50   79  0  0 100  0  0
 0  0      0 160872   2076 191396    0    0     0     0   40   69  0  0 100  0  0
 0  0      0 160872   2076 191396    0    0     0     0   41   72  0  0 100  0  0
 0  0      0 160748   2076 191396    0    0     0    16   49   82  0  1 99  0  0
 0  0      0 160748   2076 191396    0    0     0     0   41   70  0  0 100  0  0
